alpha_profile,weighted_delta_U1_kV,weighted_delta_U2_kV,weighted_delta_U3_kV,weighted_delta_U4_kV,front_two_share_of_positive_adjustment
equal,8.676111111111112,8.526166666666667,1.5857916666666643,5.514361111111111,0.7078418653826921
weak_front,9.461986111111111,8.194347222222218,1.4825138888888887,4.82851388888889,0.7366824095268449
central_front,9.066569444444443,8.124874999999998,1.1859027777777782,5.2514722222222225,0.727562563371589
