model,selected_alpha,split,r2,rmse_kW,bias_kW
mean_predictor,,validation,-5.325898205694385,140.1807313553288,128.6244861111113
linear_ridge,10.0,validation,0.9797671753422182,7.927851029798737,0.28343323434839585
quadratic_ridge,0.1,validation,0.9836748381911681,7.12124568283022,-1.8731535682292926
mean_predictor,,retrospective_test,-0.3733481483855774,83.5132281608838,-43.54336111111092
linear_ridge,10.0,retrospective_test,0.9179863015428271,20.40836189325417,-16.651189207912704
quadratic_ridge,0.1,retrospective_test,0.9570781626465803,14.764002176387203,-10.778136591095537
