outlet_scale,alpha_profile,peak_exponent,phase_scale,tstar_load_exponent,all_conditions_feasible,weighted_power_10_kW,weighted_power_5_kW,weighted_power_increase_pct
0.1,central_front,1.1,0.65,-0.1,True,1601.0500508173634,1806.207844321779,12.81395253069566
0.1,central_front,1.1,0.8,-0.3,True,1603.7484384513552,1814.8498615113215,13.163001004310516
0.1,central_front,1.1,0.8,-0.18,True,1603.7246894349923,1815.7216313358592,13.219035866783058
0.1,central_front,1.1,0.8,-0.1,True,1603.7045145158936,1815.1378071467277,13.184055461405176
0.1,central_front,1.1,1.0,-0.3,True,1609.1790527320134,1828.3693062025006,13.621247001590842
0.1,central_front,1.1,1.0,-0.18,True,1608.9844875935114,1829.197192049915,13.686440494262708
0.1,central_front,1.1,1.0,-0.1,True,1608.8173536861473,1828.4305258337074,13.650596921047576
0.1,central_front,1.35,0.65,-0.3,True,1602.061032867399,1806.5401403102028,12.763502965728035
0.1,central_front,1.35,0.65,-0.18,True,1601.3805241244445,1806.9663557286929,12.838037462498342
0.1,central_front,1.35,0.65,-0.1,True,1601.0500508173634,1807.1723556428299,12.874194952258833
0.1,central_front,1.35,0.8,-0.3,True,1603.8743599030959,1814.8498615113215,13.154116487090196
0.1,central_front,1.35,0.8,-0.18,True,1603.7246894349923,1815.8725225486394,13.228444664550798
0.1,central_front,1.35,0.8,-0.1,True,1604.4664563810127,1816.5614686607626,13.219036860274723
0.1,central_front,1.35,1.0,-0.3,True,1609.7034517792542,1830.1339277346956,13.693856201388698
0.1,central_front,1.35,1.0,-0.18,True,1609.415563803269,1829.791278624482,13.692903174145709
0.1,central_front,1.35,1.0,-0.1,True,1609.676941258808,1830.452515556754,13.715520713447859
0.1,central_front,1.6,0.65,-0.3,True,1602.061032867399,1807.0658040858307,12.796314685434318
0.1,central_front,1.6,0.65,-0.18,True,1601.3805241244445,1808.5032587012392,12.934011089590292
