condition_cluster,condition_name,share,power_10_kW,power_5_kW,validation_error_adjusted_power_10_kW,validation_error_adjusted_power_5_kW,increase_pct
1,低温低浓度高流量,0.23347222222222222,1629.6329202654001,1851.8639023028772,1641.4090070243662,1863.6399890618434,13.636873634173075
2,高温中浓度低流量,0.20055555555555554,1692.9994309169633,1931.8436593119775,1704.7755176759294,1943.6197460709436,14.107755976365045
3,高温高浓度高流量,0.34930555555555554,1595.3706807745107,1813.7601307389236,1607.1467675334768,1825.5362174978898,13.688947189275824
4,低温高浓度低流量,0.21666666666666667,1532.9042820675709,1737.3878291475935,1544.680368826537,1749.1639159065596,13.339616143821885
