condition_cluster,condition_name,limit_mgNm3,status,power_bound_max_kW,power_bound_p95_kW,power_penalty_kW,power_penalty_pct,share
1,低温低浓度高流量,10.0,SCENARIO_FEASIBLE,2045.5489349108639,2084.8893091870013,39.34037427613748,1.923218438079144,0.23347222222222222
2,高温中浓度低流量,10.0,SCENARIO_FEASIBLE,2104.299222550428,2146.6719494075605,42.37272685713242,2.013626503448318,0.20055555555555554
3,高温高浓度高流量,10.0,SCENARIO_FEASIBLE,1924.6723008236906,1991.338119712734,66.6658188890433,3.463749068374544,0.34930555555555554
4,低温高浓度低流量,10.0,SCENARIO_FEASIBLE,1851.1465656529915,1880.9603012729121,29.813735619920635,1.6105551107134408,0.21666666666666667
1,低温低浓度高流量,5.0,SCENARIO_FEASIBLE,2182.252273203264,2221.4394336755868,39.18716047232283,1.7957209142827946,0.23347222222222222
2,高温中浓度低流量,5.0,SCENARIO_FEASIBLE,2245.5062006430185,2286.485533073237,40.97933243021862,1.8249485313593716,0.20055555555555554
3,高温高浓度高流量,5.0,SCENARIO_FEASIBLE,2056.0618781668963,2100.2006866027714,44.138808435875035,2.1467645942264912,0.34930555555555554
4,低温高浓度低流量,5.0,SCENARIO_FEASIBLE,1973.102722684807,2000.434394682931,27.331671998123966,1.38521282667603,0.21666666666666667
