condition_cluster,condition_name,share,power_10_kW,power_5_kW,field_power_10_kW,K_at_10,delta_K_10_to_5,analytic_delta_power_kW,numeric_delta_power_kW,increase_pct
1,低温低浓度高流量,0.23347222222222222,2045.5489349108639,2182.252273203264,1381.190260310528,8.058842214864839,0.8035197235350634,137.71377904222325,136.70333829240008,6.682965924662998
2,高温中浓度低流量,0.20055555555555554,2104.299222550428,2245.5062006430185,1427.4322618320002,8.337998257394974,0.8319333901818154,142.42369981159126,141.20697809259036,6.710403947279242
3,高温高浓度高流量,0.34930555555555554,1924.6723008236906,2056.0618781668963,1250.7846486701485,8.594445922737272,0.9024863543265919,131.3425074488652,131.3895773432057,6.826594703263278
4,低温高浓度低流量,0.21666666666666667,1851.1465656529915,1973.102722684807,1181.315759156694,8.689636647232508,0.9058071152016137,123.14027195656321,121.95615703181556,6.5881416034065055
