condition_cluster,condition_name,limit_mgNm3,slsqp_power_kW,random_search_power_kW,random_search_gap_pct,multistart_converged,multistart_power_spread_kW
1,低温低浓度高流量,10.0,2045.5489349108639,,,53,1.7122602002928033e-08
1,低温低浓度高流量,5.0,2182.252273203264,2295.139404852229,5.172964328421159,51,2.1517280401894823e-08
2,高温中浓度低流量,10.0,2104.299222550428,2146.3915359005387,2.000300760416307,50,9.802079148357734e-09
2,高温中浓度低流量,5.0,2245.5062006430185,2291.4173274948835,2.0445780483134612,47,3.547529559000395e-08
3,高温高浓度高流量,10.0,1924.6723008236906,1943.2616644013517,0.9658456439418428,48,3.945615389966406e-09
3,高温高浓度高流量,5.0,2056.0618781668963,2096.798149415972,1.9812765209865413,50,4.075127435498871e-08
4,低温高浓度低流量,10.0,1851.1465656529915,1872.0275035100615,1.1280002483057938,47,1.492753654019907e-08
4,低温高浓度低流量,5.0,1973.102722684807,2000.3223757355267,1.379535527358744,50,1.767330104485154e-08
