condition_cluster,condition_name,limit_mgNm3,mahalanobis_d2,empirical_q975,ratio_to_q975,max_voltage_over_historical_max_pct,verdict
1,低温低浓度高流量,10.0,49.389404155016386,20.547590325920442,2.403659182006976,0.0,EXTRAPOLATION
2,高温中浓度低流量,10.0,46.45920878752207,18.719515286292722,2.481859603573262,0.0,EXTRAPOLATION
3,高温高浓度高流量,10.0,77.68687011080668,16.84838323863158,4.610939163152391,0.0,EXTRAPOLATION
4,低温高浓度低流量,10.0,102.78676348605603,19.092644518304926,5.383579178228035,0.0,EXTRAPOLATION
1,低温低浓度高流量,5.0,65.83936905351159,20.547590325920442,3.204237967040657,5.052264808362361,EXTRAPOLATION
2,高温中浓度低流量,5.0,60.31098781094371,18.719515286292722,3.22182422400147,5.067567567567566,EXTRAPOLATION
3,高温高浓度高流量,5.0,106.26359885545529,16.84838323863158,6.307050198846615,5.000000000000004,EXTRAPOLATION
4,低温高浓度低流量,5.0,133.43325047786823,19.092644518304926,6.988725440833517,5.069930069930062,EXTRAPOLATION
