event,start,end,minutes,Temp_C_event_mean,Temp_C_event_max,Temp_C_event_min,Temp_C_baseline_median,C_in_gNm3_event_mean,C_in_gNm3_event_max,C_in_gNm3_event_min,C_in_gNm3_baseline_median,Q_Nm3h_event_mean,Q_Nm3h_event_max,Q_Nm3h_event_min,Q_Nm3h_baseline_median,U1_kV_event_mean,U1_kV_event_max,U1_kV_event_min,U1_kV_baseline_median,U2_kV_event_mean,U2_kV_event_max,U2_kV_event_min,U2_kV_baseline_median,U3_kV_event_mean,U3_kV_event_max,U3_kV_event_min,U3_kV_baseline_median,U4_kV_event_mean,U4_kV_event_max,U4_kV_event_min,U4_kV_baseline_median,T1_s_event_mean,T1_s_event_max,T1_s_event_min,T1_s_baseline_median,T2_s_event_mean,T2_s_event_max,T2_s_event_min,T2_s_baseline_median,T3_s_event_mean,T3_s_event_max,T3_s_event_min,T3_s_baseline_median,T4_s_event_mean,T4_s_event_max,T4_s_event_min,T4_s_baseline_median,P_total_kW_event_mean,P_total_kW_event_max,P_total_kW_event_min,P_total_kW_baseline_median
入口浓度尖峰,2024-05-02 14:02:00,2024-05-02 15:49:00,41,129.53170731707317,133.1,124.0,126.5,62.47317073170732,72.47,60.01,37.41,431235.9024390244,449236.0,416730.0,465546.5,63.673170731707316,67.8,60.5,58.8,64.11463414634147,69.3,61.2,58.9,51.78048780487805,57.0,48.2,48.4,51.507317073170725,56.6,45.8,48.4,242.2439024390244,265.0,219.0,233.0,239.3658536585366,274.0,213.0,233.0,424.609756097561,453.0,395.0,445.0,427.0975609756098,459.0,392.0,445.0,1924.3170731707314,2019.5,1825.7,1785.1
入口温度尖峰,2024-05-06 13:00:00,2024-05-06 14:59:00,120,154.80083333333332,158.2,151.1,126.5,25.94983333333333,33.05,18.0,37.41,432088.76666666666,453826.0,406935.0,465546.5,55.54666666666667,60.4,50.4,58.8,55.77666666666666,60.9,51.6,58.9,44.07416666666666,49.4,39.1,48.4,44.29416666666666,49.5,40.0,48.4,216.3,254.0,188.0,233.0,218.0,246.0,190.0,233.0,453.1666666666667,490.0,424.0,445.0,455.01666666666665,496.0,414.0,445.0,1668.4366666666667,1756.0,1579.2,1785.1
