condition_cluster,condition_name,mode_selection_rule,available_modes,automatic_emission_threshold_switching,provisional_voltage_ramp_kV_per_min,provisional_period_ramp_s_per_min,phase_scenario_for_online_trial,implementation_status,target10_U1_kV,target10_U2_kV,target10_U3_kV,target10_U4_kV,target10_T1_s,target10_T2_s,target10_T3_s,target10_T4_s,target5_U1_kV,target5_U2_kV,target5_U3_kV,target5_U4_kV,target5_T1_s,target5_T2_s,target5_T3_s,target5_T4_s
1,低温低浓度高流量,EXTERNAL_TARGET_SELECTION,TARGET-10/TARGET-5/FALLBACK,False,0.5,5.0,0.65/0.80/1.00,PROVISIONAL_MUST_BE_OVERRIDDEN_BY_SITE_DCS_AND_INTERLOCK_LIMITS,55.4,53.5,51.8,48.0,267.0,268.0,465.0,465.0,65.0,61.8,51.7,53.2,267.0,267.0,466.0,466.0
2,高温中浓度低流量,EXTERNAL_TARGET_SELECTION,TARGET-10/TARGET-5/FALLBACK,False,0.5,5.0,0.65/0.80/1.00,PROVISIONAL_MUST_BE_OVERRIDDEN_BY_SITE_DCS_AND_INTERLOCK_LIMITS,57.8,53.1,52.9,48.9,258.0,258.0,448.0,450.0,65.6,65.3,52.3,54.5,258.0,256.0,465.0,464.0
3,高温高浓度高流量,EXTERNAL_TARGET_SELECTION,TARGET-10/TARGET-5/FALLBACK,False,0.5,5.0,0.65/0.80/1.00,PROVISIONAL_MUST_BE_OVERRIDDEN_BY_SITE_DCS_AND_INTERLOCK_LIMITS,52.6,55.0,49.2,44.1,253.0,253.0,456.0,466.0,60.9,61.8,52.2,49.9,251.0,253.0,464.0,464.0
4,低温高浓度低流量,EXTERNAL_TARGET_SELECTION,TARGET-10/TARGET-5/FALLBACK,False,0.5,5.0,0.65/0.80/1.00,PROVISIONAL_MUST_BE_OVERRIDDEN_BY_SITE_DCS_AND_INTERLOCK_LIMITS,51.8,50.8,48.7,46.6,267.0,268.0,473.0,464.0,62.7,57.1,50.0,50.7,268.0,268.0,473.0,472.0
